task_id,syntax,proven,jg_output_tail
AssertionForge-UART-6-baud_clk,1.0,0.0,"[<embedded>] % puts ""PROVENSTATUS [get_status uart2bus_top.direct_proven_check]""
PROVENSTATUS cex"
AssertionForge-UART-8-baud_clk,1.0,1.0,"[<embedded>] % puts ""PROVENSTATUS [get_status uart2bus_top.direct_proven_check]""
PROVENSTATUS proven"
AssertionForge-UART-1-baud_clk,1.0,1.0,"[<embedded>] % puts ""PROVENSTATUS [get_status uart2bus_top.direct_proven_check]""
PROVENSTATUS proven"
AssertionForge-UART-4-baud_clk,1.0,0.0,"[<embedded>] % puts ""PROVENSTATUS [get_status uart2bus_top.direct_proven_check]""
PROVENSTATUS cex"
AssertionForge-UART-5-baud_clk,1.0,1.0,"[<embedded>] % puts ""PROVENSTATUS [get_status uart2bus_top.direct_proven_check]""
PROVENSTATUS proven"
AssertionForge-UART-0-baud_clk,1.0,1.0,"[<embedded>] % puts ""PROVENSTATUS [get_status uart2bus_top.direct_proven_check]""
PROVENSTATUS proven"
AssertionForge-UART-7-baud_clk,0.0,0.0,"[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/assertionforge_uart_regen23_matched_grounded_pipeline_jgscore.csv.jgtmp/uart_proven_9.sva(134): 'baud_ce_16' is not declared
[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/assertionforge_uart_regen23_matched_grounded_pipeline_jgscore.csv.jgtmp/uart_proven_9.sva(134): 'baud_counter' is not declared
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/assertionforge_uart_regen23_matched_grounded_pipeline_jgscore.csv.jgtmp/uart_proven_9.sva(136): module 'uart2bus_top' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/assertionforge_uart_regen23_matched_grounded_pipeline_jgscore.csv.jgtmp/uart_proven_9.sva(204): module 'uart_top' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/assertionforge_uart_regen23_matched_grounded_pipeline_jgscore.csv.jgtmp/uart_proven_9.sva(262): module 'baud_gen' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/assertionforge_uart_regen23_matched_grounded_pipeline_jgscore.csv.jgtmp/uart_proven_9.sva(380): module 'uart_rx' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/assertionforge_uart_regen23_matched_grounded_pipeline_jgscore.csv.jgtmp/uart_proven_9.sva(476): module 'uart_tx' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/assertionforge_uart_regen23_matched_grounded_pipeline_jgscore.csv.jgtmp/uart_proven_9.sva(1145): module 'uart_parser' is ignored due to previous errors
	[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/assertionforge_uart_regen23_matched_grounded_pipeline_jgscore.csv.jgtmp/uart_proven_9.sva(134): 'baud_ce_16' is not declared
	[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/assertionforge_uart_regen23_matched_grounded_pipeline_jgscore.csv.jgtmp/uart_proven_9.sva(134): 'baud_counter' is not declared
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/assertionforge_uart_regen23_matched_grounded_pipeline_jgscore.csv.jgtmp/uart_proven_9.sva(136): module 'uart2bus_top' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/assertionforge_uart_regen23_matched_grounded_pipeline_jgscore.csv.jgtmp/uart_proven_9.sva(204): module 'uart_top' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/assertionforge_uart_regen23_matched_grounded_pipeline_jgscore.csv.jgtmp/uart_proven_9.sva(262): module 'baud_gen' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/assertionforge_uart_regen23_matched_grounded_pipeline_jgscore.csv.jgtmp/uart_proven_9.sva(380): module 'uart_rx' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/assertionforge_uart_regen23_matched_grounded_pipeline_jgscore.csv.jgtmp/uart_proven_9.sva(476): module 'uart_tx' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/assertionforge_uart_regen23_matched_grounded_pipeline_jgscore.csv.jgtmp/uart_proven_9.sva(1145): module 'uart_parser' is ignored due to previous errors
ERROR (ENL034): 8 errors detected in the design file(s).
ERROR: problem encountered at line 3 in file /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/assertionforge_uart_regen23_matched_grounded_pipeline_jgscore.csv.jgtmp/uart_proven_9.tcl"
AssertionForge-UART-3-baud_clk,1.0,0.0,"[<embedded>] % puts ""PROVENSTATUS [get_status uart2bus_top.direct_proven_check]""
PROVENSTATUS cex"
AssertionForge-UART-12-baud_clk,1.0,0.0,"[<embedded>] % puts ""PROVENSTATUS [get_status uart2bus_top.direct_proven_check]""
PROVENSTATUS cex"
AssertionForge-UART-10-baud_clk,1.0,0.0,"[<embedded>] % puts ""PROVENSTATUS [get_status uart2bus_top.direct_proven_check]""
PROVENSTATUS cex"
