task_id,syntax,proven,jg_output_tail
AssertionForge-UART-3-baud_clk,0.0,0.0,"[ERROR (VERI-1243)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_3.sva(81): operator |-> is only allowed in a property, not in sequence
[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_3.sva(81): 'ce_16' is not declared
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_3.sva(83): module 'uart2bus_top' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_3.sva(151): module 'uart_top' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_3.sva(209): module 'baud_gen' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_3.sva(327): module 'uart_rx' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_3.sva(423): module 'uart_tx' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_3.sva(1092): module 'uart_parser' is ignored due to previous errors
	[ERROR (VERI-1243)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_3.sva(81): operator |-> is only allowed in a property, not in sequence
	[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_3.sva(81): 'ce_16' is not declared
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_3.sva(83): module 'uart2bus_top' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_3.sva(151): module 'uart_top' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_3.sva(209): module 'baud_gen' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_3.sva(327): module 'uart_rx' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_3.sva(423): module 'uart_tx' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_3.sva(1092): module 'uart_parser' is ignored due to previous errors
ERROR (ENL034): 8 errors detected in the design file(s).
ERROR: problem encountered at line 3 in file /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_3.tcl"
AssertionForge-UART-1-baud_clk,0.0,0.0,"[ERROR (VERI-1137)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_5.sva(81): syntax error near ']'
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_5.sva(83): module 'uart2bus_top' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_5.sva(151): module 'uart_top' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_5.sva(209): module 'baud_gen' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_5.sva(327): module 'uart_rx' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_5.sva(423): module 'uart_tx' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_5.sva(1092): module 'uart_parser' is ignored due to previous errors
	[ERROR (VERI-1137)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_5.sva(81): syntax error near ']'
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_5.sva(83): module 'uart2bus_top' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_5.sva(151): module 'uart_top' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_5.sva(209): module 'baud_gen' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_5.sva(327): module 'uart_rx' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_5.sva(423): module 'uart_tx' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_5.sva(1092): module 'uart_parser' is ignored due to previous errors
ERROR (ENL034): 7 errors detected in the design file(s).
ERROR: problem encountered at line 3 in file /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_5.tcl"
AssertionForge-UART-4-baud_clk,0.0,0.0,"[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_2.sva(81): 'ce_16' is not declared
[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_2.sva(81): 'ce_16' is not declared
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_2.sva(83): module 'uart2bus_top' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_2.sva(151): module 'uart_top' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_2.sva(209): module 'baud_gen' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_2.sva(327): module 'uart_rx' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_2.sva(423): module 'uart_tx' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_2.sva(1092): module 'uart_parser' is ignored due to previous errors
	[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_2.sva(81): 'ce_16' is not declared
	[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_2.sva(81): 'ce_16' is not declared
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_2.sva(83): module 'uart2bus_top' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_2.sva(151): module 'uart_top' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_2.sva(209): module 'baud_gen' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_2.sva(327): module 'uart_rx' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_2.sva(423): module 'uart_tx' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_2.sva(1092): module 'uart_parser' is ignored due to previous errors
ERROR (ENL034): 8 errors detected in the design file(s).
ERROR: problem encountered at line 3 in file /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_2.tcl"
AssertionForge-UART-5-baud_clk,1.0,1.0,"[<embedded>] % puts ""PROVENSTATUS [get_status uart2bus_top.direct_proven_check]""
PROVENSTATUS proven"
AssertionForge-UART-0-baud_clk,1.0,0.0,"[<embedded>] % puts ""PROVENSTATUS [get_status uart2bus_top.direct_proven_check]""
PROVENSTATUS cex"
AssertionForge-UART-2-baud_clk,1.0,0.0,"[<embedded>] % puts ""PROVENSTATUS [get_status uart2bus_top.direct_proven_check]""
PROVENSTATUS cex"
AssertionForge-UART-6-baud_clk,0.0,0.0,"[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_6.sva(81): 'ce_16' is not declared
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_6.sva(83): module 'uart2bus_top' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_6.sva(151): module 'uart_top' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_6.sva(209): module 'baud_gen' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_6.sva(327): module 'uart_rx' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_6.sva(423): module 'uart_tx' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_6.sva(1092): module 'uart_parser' is ignored due to previous errors
	[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_6.sva(81): 'ce_16' is not declared
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_6.sva(83): module 'uart2bus_top' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_6.sva(151): module 'uart_top' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_6.sva(209): module 'baud_gen' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_6.sva(327): module 'uart_rx' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_6.sva(423): module 'uart_tx' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_6.sva(1092): module 'uart_parser' is ignored due to previous errors
ERROR (ENL034): 7 errors detected in the design file(s).
ERROR: problem encountered at line 3 in file /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_6.tcl"
AssertionForge-UART-11-baud_clk,0.0,0.0,"[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_11.sva(81): 'count16' is not declared
[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_11.sva(81): 'ce_16' is not declared
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_11.sva(83): module 'uart2bus_top' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_11.sva(151): module 'uart_top' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_11.sva(209): module 'baud_gen' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_11.sva(327): module 'uart_rx' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_11.sva(423): module 'uart_tx' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_11.sva(1092): module 'uart_parser' is ignored due to previous errors
	[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_11.sva(81): 'count16' is not declared
	[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_11.sva(81): 'ce_16' is not declared
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_11.sva(83): module 'uart2bus_top' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_11.sva(151): module 'uart_top' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_11.sva(209): module 'baud_gen' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_11.sva(327): module 'uart_rx' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_11.sva(423): module 'uart_tx' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_11.sva(1092): module 'uart_parser' is ignored due to previous errors
ERROR (ENL034): 8 errors detected in the design file(s).
ERROR: problem encountered at line 3 in file /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_baseline_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_11.tcl"
AssertionForge-UART-10-baud_clk,1.0,0.0,"[<embedded>] % puts ""PROVENSTATUS [get_status uart2bus_top.direct_proven_check]""
PROVENSTATUS cex"
AssertionForge-UART-7-baud_clk,1.0,0.0,"[<embedded>] % puts ""PROVENSTATUS [get_status uart2bus_top.direct_proven_check]""
PROVENSTATUS cex"
