task_id,syntax,proven,jg_output_tail
AssertionForge-UART-3-baud_clk,0.0,0.0,"[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_3.sva(81): 'defined_ce_16' is not declared
[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_3.sva(81): 'defined_ce_16' is not declared
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_3.sva(83): module 'uart2bus_top' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_3.sva(151): module 'uart_top' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_3.sva(209): module 'baud_gen' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_3.sva(327): module 'uart_rx' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_3.sva(423): module 'uart_tx' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_3.sva(1092): module 'uart_parser' is ignored due to previous errors
	[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_3.sva(81): 'defined_ce_16' is not declared
	[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_3.sva(81): 'defined_ce_16' is not declared
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_3.sva(83): module 'uart2bus_top' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_3.sva(151): module 'uart_top' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_3.sva(209): module 'baud_gen' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_3.sva(327): module 'uart_rx' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_3.sva(423): module 'uart_tx' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_3.sva(1092): module 'uart_parser' is ignored due to previous errors
ERROR (ENL034): 8 errors detected in the design file(s).
ERROR: problem encountered at line 3 in file /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_3.tcl"
AssertionForge-UART-5-baud_clk,1.0,0.0,"[<embedded>] % puts ""PROVENSTATUS [get_status uart2bus_top.direct_proven_check]""
PROVENSTATUS cex"
AssertionForge-UART-1-baud_clk,1.0,1.0,"[<embedded>] % puts ""PROVENSTATUS [get_status uart2bus_top.direct_proven_check]""
PROVENSTATUS proven"
AssertionForge-UART-4-baud_clk,1.0,0.0,"[<embedded>] % puts ""PROVENSTATUS [get_status uart2bus_top.direct_proven_check]""
PROVENSTATUS cex"
AssertionForge-UART-0-baud_clk,1.0,0.0,"[<embedded>] % puts ""PROVENSTATUS [get_status uart2bus_top.direct_proven_check]""
PROVENSTATUS cex"
AssertionForge-UART-2-baud_clk,1.0,0.0,"[<embedded>] % puts ""PROVENSTATUS [get_status uart2bus_top.direct_proven_check]""
PROVENSTATUS cex"
AssertionForge-UART-9-baud_clk,1.0,0.0,"[<embedded>] % puts ""PROVENSTATUS [get_status uart2bus_top.direct_proven_check]""
PROVENSTATUS cex"
AssertionForge-UART-6-baud_clk,0.0,0.0,"[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_10.sva(81): 'ce_16_signal' is not declared
[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_10.sva(81): 'ce_16_signal' is not declared
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_10.sva(83): module 'uart2bus_top' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_10.sva(151): module 'uart_top' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_10.sva(209): module 'baud_gen' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_10.sva(327): module 'uart_rx' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_10.sva(423): module 'uart_tx' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_10.sva(1092): module 'uart_parser' is ignored due to previous errors
	[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_10.sva(81): 'ce_16_signal' is not declared
	[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_10.sva(81): 'ce_16_signal' is not declared
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_10.sva(83): module 'uart2bus_top' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_10.sva(151): module 'uart_top' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_10.sva(209): module 'baud_gen' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_10.sva(327): module 'uart_rx' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_10.sva(423): module 'uart_tx' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_10.sva(1092): module 'uart_parser' is ignored due to previous errors
ERROR (ENL034): 8 errors detected in the design file(s).
ERROR: problem encountered at line 3 in file /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_10.tcl"
AssertionForge-UART-8-baud_clk,1.0,0.0,"[<embedded>] % puts ""PROVENSTATUS [get_status uart2bus_top.direct_proven_check]""
PROVENSTATUS cex"
AssertionForge-UART-11-baud_clk,0.0,0.0,"[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_12.sva(81): 'valid_signal' is not declared
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_12.sva(83): module 'uart2bus_top' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_12.sva(151): module 'uart_top' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_12.sva(209): module 'baud_gen' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_12.sva(327): module 'uart_rx' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_12.sva(423): module 'uart_tx' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_12.sva(1092): module 'uart_parser' is ignored due to previous errors
	[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_12.sva(81): 'valid_signal' is not declared
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_12.sva(83): module 'uart2bus_top' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_12.sva(151): module 'uart_top' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_12.sva(209): module 'baud_gen' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_12.sva(327): module 'uart_rx' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_12.sva(423): module 'uart_tx' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_12.sva(1092): module 'uart_parser' is ignored due to previous errors
ERROR (ENL034): 7 errors detected in the design file(s).
ERROR: problem encountered at line 3 in file /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_12.tcl"
