task_id,syntax,proven,jg_output_tail
AssertionForge-UART-3-baud_clk,0.0,0.0,"[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore_scopefixed.csv.jgtmp/uart_proven_3.sva(134): 'defined_ce_16' is not declared
[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore_scopefixed.csv.jgtmp/uart_proven_3.sva(134): 'defined_ce_16' is not declared
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore_scopefixed.csv.jgtmp/uart_proven_3.sva(136): module 'uart2bus_top' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore_scopefixed.csv.jgtmp/uart_proven_3.sva(204): module 'uart_top' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore_scopefixed.csv.jgtmp/uart_proven_3.sva(262): module 'baud_gen' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore_scopefixed.csv.jgtmp/uart_proven_3.sva(380): module 'uart_rx' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore_scopefixed.csv.jgtmp/uart_proven_3.sva(476): module 'uart_tx' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore_scopefixed.csv.jgtmp/uart_proven_3.sva(1145): module 'uart_parser' is ignored due to previous errors
	[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore_scopefixed.csv.jgtmp/uart_proven_3.sva(134): 'defined_ce_16' is not declared
	[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore_scopefixed.csv.jgtmp/uart_proven_3.sva(134): 'defined_ce_16' is not declared
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore_scopefixed.csv.jgtmp/uart_proven_3.sva(136): module 'uart2bus_top' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore_scopefixed.csv.jgtmp/uart_proven_3.sva(204): module 'uart_top' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore_scopefixed.csv.jgtmp/uart_proven_3.sva(262): module 'baud_gen' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore_scopefixed.csv.jgtmp/uart_proven_3.sva(380): module 'uart_rx' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore_scopefixed.csv.jgtmp/uart_proven_3.sva(476): module 'uart_tx' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore_scopefixed.csv.jgtmp/uart_proven_3.sva(1145): module 'uart_parser' is ignored due to previous errors
ERROR (ENL034): 8 errors detected in the design file(s).
ERROR: problem encountered at line 3 in file /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore_scopefixed.csv.jgtmp/uart_proven_3.tcl"
AssertionForge-UART-5-baud_clk,1.0,0.0,"[<embedded>] % puts ""PROVENSTATUS [get_status uart2bus_top.direct_proven_check]""
PROVENSTATUS cex"
AssertionForge-UART-1-baud_clk,1.0,1.0,"[<embedded>] % puts ""PROVENSTATUS [get_status uart2bus_top.direct_proven_check]""
PROVENSTATUS proven"
AssertionForge-UART-0-baud_clk,1.0,0.0,"[<embedded>] % puts ""PROVENSTATUS [get_status uart2bus_top.direct_proven_check]""
PROVENSTATUS cex"
AssertionForge-UART-4-baud_clk,1.0,0.0,"[<embedded>] % puts ""PROVENSTATUS [get_status uart2bus_top.direct_proven_check]""
PROVENSTATUS cex"
AssertionForge-UART-2-baud_clk,1.0,0.0,"[<embedded>] % puts ""PROVENSTATUS [get_status uart2bus_top.direct_proven_check]""
PROVENSTATUS cex"
AssertionForge-UART-9-baud_clk,1.0,0.0,"[<embedded>] % puts ""PROVENSTATUS [get_status uart2bus_top.direct_proven_check]""
PROVENSTATUS cex"
AssertionForge-UART-6-baud_clk,0.0,0.0,"[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore_scopefixed.csv.jgtmp/uart_proven_10.sva(134): 'ce_16_signal' is not declared
[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore_scopefixed.csv.jgtmp/uart_proven_10.sva(134): 'ce_16_signal' is not declared
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore_scopefixed.csv.jgtmp/uart_proven_10.sva(136): module 'uart2bus_top' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore_scopefixed.csv.jgtmp/uart_proven_10.sva(204): module 'uart_top' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore_scopefixed.csv.jgtmp/uart_proven_10.sva(262): module 'baud_gen' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore_scopefixed.csv.jgtmp/uart_proven_10.sva(380): module 'uart_rx' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore_scopefixed.csv.jgtmp/uart_proven_10.sva(476): module 'uart_tx' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore_scopefixed.csv.jgtmp/uart_proven_10.sva(1145): module 'uart_parser' is ignored due to previous errors
	[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore_scopefixed.csv.jgtmp/uart_proven_10.sva(134): 'ce_16_signal' is not declared
	[ERROR (VERI-1128)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore_scopefixed.csv.jgtmp/uart_proven_10.sva(134): 'ce_16_signal' is not declared
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore_scopefixed.csv.jgtmp/uart_proven_10.sva(136): module 'uart2bus_top' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore_scopefixed.csv.jgtmp/uart_proven_10.sva(204): module 'uart_top' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore_scopefixed.csv.jgtmp/uart_proven_10.sva(262): module 'baud_gen' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore_scopefixed.csv.jgtmp/uart_proven_10.sva(380): module 'uart_rx' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore_scopefixed.csv.jgtmp/uart_proven_10.sva(476): module 'uart_tx' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore_scopefixed.csv.jgtmp/uart_proven_10.sva(1145): module 'uart_parser' is ignored due to previous errors
ERROR (ENL034): 8 errors detected in the design file(s).
ERROR: problem encountered at line 3 in file /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_olnl_baudclk_baudfreq_jgscore_scopefixed.csv.jgtmp/uart_proven_10.tcl"
AssertionForge-UART-12-baud_clk,1.0,0.0,"[<embedded>] % puts ""PROVENSTATUS [get_status uart2bus_top.direct_proven_check]""
PROVENSTATUS cex"
AssertionForge-UART-7-baud_clk,1.0,0.0,"[<embedded>] % puts ""PROVENSTATUS [get_status uart2bus_top.direct_proven_check]""
PROVENSTATUS cex"
