task_id,syntax,proven,jg_output_tail
AssertionForge-UART-4-baud_clk,0.0,0.0,"[ERROR (VERI-1243)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_signalfix_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_4.sva(81): operator |-> is only allowed in a property, not in sequence
[ERROR (VERI-1126)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_signalfix_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_4.sva(81): 'new_tx_data' is not a task
[ERROR (VERI-2351)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_signalfix_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_4.sva(81): operator s_nexttime returns a property; it cannot be used where a sequence is expected
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_signalfix_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_4.sva(83): module 'uart2bus_top' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_signalfix_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_4.sva(151): module 'uart_top' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_signalfix_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_4.sva(209): module 'baud_gen' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_signalfix_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_4.sva(327): module 'uart_rx' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_signalfix_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_4.sva(423): module 'uart_tx' is ignored due to previous errors
[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_signalfix_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_4.sva(1092): module 'uart_parser' is ignored due to previous errors
	[ERROR (VERI-1243)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_signalfix_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_4.sva(81): operator |-> is only allowed in a property, not in sequence
	[ERROR (VERI-1126)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_signalfix_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_4.sva(81): 'new_tx_data' is not a task
	[ERROR (VERI-2351)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_signalfix_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_4.sva(81): operator s_nexttime returns a property; it cannot be used where a sequence is expected
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_signalfix_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_4.sva(83): module 'uart2bus_top' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_signalfix_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_4.sva(151): module 'uart_top' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_signalfix_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_4.sva(209): module 'baud_gen' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_signalfix_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_4.sva(327): module 'uart_rx' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_signalfix_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_4.sva(423): module 'uart_tx' is ignored due to previous errors
	[ERROR (VERI-1072)] /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_signalfix_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_4.sva(1092): module 'uart_parser' is ignored due to previous errors
ERROR (ENL034): 9 errors detected in the design file(s).
ERROR: problem encountered at line 3 in file /home/wx2356/Hybrid-NL2SVA/end2end_evaluation/results/pilot_signalfix_baudclk_baudfreq_jgscore.csv.jgtmp/uart_proven_4.tcl"
AssertionForge-UART-2-baud_clk,1.0,0.0,"[<embedded>] % puts ""PROVENSTATUS [get_status uart2bus_top.direct_proven_check]""
PROVENSTATUS cex"
AssertionForge-UART-3-baud_clk,1.0,0.0,"[<embedded>] % puts ""PROVENSTATUS [get_status uart2bus_top.direct_proven_check]""
PROVENSTATUS cex"
AssertionForge-UART-0-baud_clk,1.0,0.0,"[<embedded>] % puts ""PROVENSTATUS [get_status uart2bus_top.direct_proven_check]""
PROVENSTATUS cex"
AssertionForge-UART-5-baud_clk,1.0,0.0,"[<embedded>] % puts ""PROVENSTATUS [get_status uart2bus_top.direct_proven_check]""
PROVENSTATUS cex"
AssertionForge-UART-6-baud_clk,1.0,1.0,"[<embedded>] % puts ""PROVENSTATUS [get_status uart2bus_top.direct_proven_check]""
PROVENSTATUS proven"
AssertionForge-UART-1-baud_clk,1.0,0.0,"[<embedded>] % puts ""PROVENSTATUS [get_status uart2bus_top.direct_proven_check]""
PROVENSTATUS cex"
AssertionForge-UART-8-baud_clk,1.0,0.0,"[<embedded>] % puts ""PROVENSTATUS [get_status uart2bus_top.direct_proven_check]""
PROVENSTATUS cex"
AssertionForge-UART-9-baud_clk,1.0,1.0,"[<embedded>] % puts ""PROVENSTATUS [get_status uart2bus_top.direct_proven_check]""
PROVENSTATUS proven"
AssertionForge-UART-10-baud_clk,1.0,0.0,"[<embedded>] % puts ""PROVENSTATUS [get_status uart2bus_top.direct_proven_check]""
PROVENSTATUS cex"
