task_id,syntax,functionality,func_relaxed,jg_output_tail
FVEval-NL2SVA-Human-2,1.0,0.0,0.0,"RROR (ENL034): 5 errors detected in the design file(s).

ERROR: problem encountered at line 56 in file /home/wx2356/Hybrid-NL2SVA/Evaluation/FVRuleLearner/FVEval/tool_scripts/run_jg_nl2sva_human.tcl

% INFO (IPL005): Received request to exit from the console.
INFO (IPL018): The peak resident set memory use for this session was 0.591 GB.
INFO (IPL014): Waiting for the Tcl-thread to exit.
INFO (IPL015): The Tcl-thread exited with status 1.
INFO (IPL016): Exiting the analysis session with status 1."
FVEval-NL2SVA-Human-0,1.0,0.0,0.0,"RROR (ENL034): 3 errors detected in the design file(s).

ERROR: problem encountered at line 56 in file /home/wx2356/Hybrid-NL2SVA/Evaluation/FVRuleLearner/FVEval/tool_scripts/run_jg_nl2sva_human.tcl

% INFO (IPL005): Received request to exit from the console.
INFO (IPL018): The peak resident set memory use for this session was 0.586 GB.
INFO (IPL014): Waiting for the Tcl-thread to exit.
INFO (IPL015): The Tcl-thread exited with status 1.
INFO (IPL016): Exiting the analysis session with status 1."
FVEval-NL2SVA-Human-1,1.0,0.0,0.0,"RROR (ENL034): 2 errors detected in the design file(s).

ERROR: problem encountered at line 56 in file /home/wx2356/Hybrid-NL2SVA/Evaluation/FVRuleLearner/FVEval/tool_scripts/run_jg_nl2sva_human.tcl

% INFO (IPL005): Received request to exit from the console.
INFO (IPL018): The peak resident set memory use for this session was 0.569 GB.
INFO (IPL014): Waiting for the Tcl-thread to exit.
INFO (IPL015): The Tcl-thread exited with status 1.
INFO (IPL016): Exiting the analysis session with status 1."
FVEval-NL2SVA-Human-3,1.0,0.0,0.0," |=> (count == $past(jump_value_d1))'
'(jump_vld_d1 && (count !== jump_value_d1)) !== 1'b1'
[p1_prove] % exit -force
[p1_prove] % INFO (IPL005): Received request to exit from the console.
INFO: Waiting for proof threads to stop...
INFO: Proof threads stopped.
INFO (IPL018): The peak resident set memory use for this session was 0.580 GB.
INFO (IPL014): Waiting for the Tcl-thread to exit.
INFO (IPL015): The Tcl-thread exited with status 0.
INFO (IPL016): Exiting the analysis session with status 0."
FVEval-NL2SVA-Human-4,1.0,1.0,1.0,"vld_d1 && !jump_vld_d1 && (count !== count_d1) && !tb_reset_1_cycle_pulse_shadow) !== 1'b1'
[p1_prove] % exit -force
[p1_prove] % INFO (IPL005): Received request to exit from the console.
INFO: Waiting for proof threads to stop...
INFO: Proof threads stopped.
INFO (IPL018): The peak resident set memory use for this session was 0.574 GB.
INFO (IPL014): Waiting for the Tcl-thread to exit.
INFO (IPL015): The Tcl-thread exited with status 0.
INFO (IPL016): Exiting the analysis session with status 0."
FVEval-NL2SVA-Human-5,1.0,1.0,1.0,"task: ""p1_prove""
Full equivalence between
'$onehot0(tb_gnt)'
'!($onehot0(tb_gnt)) !== 1'b1'
[p1_prove] % exit -force
[p1_prove] % INFO (IPL005): Received request to exit from the console.
INFO: Waiting for proof threads to stop...
INFO: Proof threads stopped.
INFO (IPL018): The peak resident set memory use for this session was 0.574 GB.
INFO (IPL014): Waiting for the Tcl-thread to exit.
INFO (IPL015): The Tcl-thread exited with status 0.
INFO (IPL016): Exiting the analysis session with status 0."
FVEval-NL2SVA-Human-6,1.0,1.0,1.0,"e between
'(|tb_req && !busy) |-> |tb_gnt'
'(!busy && |tb_req && (tb_gnt == 'd0)) !== 1'b1'
[p1_prove] % exit -force
[p1_prove] % INFO (IPL005): Received request to exit from the console.
INFO: Waiting for proof threads to stop...
INFO: Proof threads stopped.
INFO (IPL018): The peak resident set memory use for this session was 0.572 GB.
INFO (IPL014): Waiting for the Tcl-thread to exit.
INFO (IPL015): The Tcl-thread exited with status 0.
INFO (IPL016): Exiting the analysis session with status 0."
FVEval-NL2SVA-Human-7,1.0,1.0,1.0,"""
Full equivalence between
'(tb_gnt != 0) |-> (tb_req >= tb_gnt)'
'(tb_gnt & ~tb_req) == 0'
[p1_prove] % exit -force
[p1_prove] % INFO (IPL005): Received request to exit from the console.
INFO: Waiting for proof threads to stop...
INFO: Proof threads stopped.
INFO (IPL018): The peak resident set memory use for this session was 0.573 GB.
INFO (IPL014): Waiting for the Tcl-thread to exit.
INFO (IPL015): The Tcl-thread exited with status 0.
INFO (IPL016): Exiting the analysis session with status 0."
FVEval-NL2SVA-Human-8,1.0,1.0,1.0,"n task: ""p1_prove""
Full equivalence between
'busy |-> !tb_gnt'
'(|tb_gnt && busy) !== 1'b1'
[p1_prove] % exit -force
[p1_prove] % INFO (IPL005): Received request to exit from the console.
INFO: Waiting for proof threads to stop...
INFO: Proof threads stopped.
INFO (IPL018): The peak resident set memory use for this session was 0.571 GB.
INFO (IPL014): Waiting for the Tcl-thread to exit.
INFO (IPL015): The Tcl-thread exited with status 0.
INFO (IPL016): Exiting the analysis session with status 0."
FVEval-NL2SVA-Human-9,1.0,0.0,0.0," !busy) |=> (tb_gnt == $past(last_gnt))'
'(hold && !busy && (tb_gnt != last_gnt)) !== 1'b1'
[p1_prove] % exit -force
[p1_prove] % INFO (IPL005): Received request to exit from the console.
INFO: Waiting for proof threads to stop...
INFO: Proof threads stopped.
INFO (IPL018): The peak resident set memory use for this session was 0.576 GB.
INFO (IPL014): Waiting for the Tcl-thread to exit.
INFO (IPL015): The Tcl-thread exited with status 0.
INFO (IPL016): Exiting the analysis session with status 0."
